Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82294;27/02/1961;1200;0;;21.1;;;;;;
82294;28/02/1961;0000;;31;;;;;;0;
82294;28/02/1961;1200;0;;20.1;;;;;;
82294;01/03/1961;0000;;31.7;;;;;;0.666667;
82294;01/03/1961;1200;0;;18.9;;;;;;
82294;02/03/1961;0000;;31;;;;;;0.666667;
82294;02/03/1961;1200;9;;20.1;;;;;;
82294;03/03/1961;0000;;31;;;;;;1.666667;
82294;03/03/1961;1200;0;;19.9;;;;;;
82294;04/03/1961;0000;;31.9;;;;;;2;
82294;04/03/1961;1200;0;;20.1;;;;;;
82294;05/03/1961;0000;;31.3;;;;;;0.666667;
82294;05/03/1961;1200;0;;20.9;;;;;;
82294;06/03/1961;0000;;31.5;;;;;;2.666667;
82294;06/03/1961;1200;0;;20.1;;;;;;
82294;07/03/1961;0000;;32.9;;;;;;0;
82294;07/03/1961;1200;0;;19.9;;;;;;
82294;08/03/1961;0000;;32.3;;;;;;1.333333;
82294;08/03/1961;1200;0;;21.1;;;;;;
82294;09/03/1961;0000;;32.3;;;;;;2;
82294;09/03/1961;1200;0;;20.1;;;;;;
82294;10/03/1961;0000;;30.4;;;;;;0.666667;
82294;10/03/1961;1200;6;;20.1;;;;;;
82294;11/03/1961;0000;;30;;;;;;0.666667;
82294;11/03/1961;1200;10;;17.7;;;;;;
82294;12/03/1961;0000;;31.1;;;;;;0.666667;
82294;12/03/1961;1200;0;;20.1;;;;;;
82294;13/03/1961;0000;;31.7;;;;;;0;
82294;13/03/1961;1200;50;;15.1;;;;;;
82294;14/03/1961;0000;;30.8;;;;;;0;
82294;14/03/1961;1200;0;;17.9;;;;;;
82294;15/03/1961;0000;;30;;;;;;0.666667;
82294;15/03/1961;1200;75;;15.1;;;;;;
82294;16/03/1961;0000;;31.5;;;;;;1.333333;
82294;16/03/1961;1200;10;;19.1;;;;;;
82294;17/03/1961;0000;;31;;;;;;0;
82294;17/03/1961;1200;0;;19.1;;;;;;
82294;18/03/1961;0000;;30.8;;;;;;0.666667;
82294;18/03/1961;1200;0;;18.1;;;;;;
82294;19/03/1961;0000;;29.6;;;;;;0;
82294;19/03/1961;1200;20;;18.9;;;;;;
82294;20/03/1961;0000;;30;;;;;;0;
82294;20/03/1961;1200;62;;15.7;;;;;;
82294;21/03/1961;0000;;30.6;;;;;;0;
82294;21/03/1961;1200;25;;16.1;;;;;;
82294;22/03/1961;0000;;30.2;;;;;;0;
82294;22/03/1961;1200;28;;17.1;;;;;;
82294;23/03/1961;0000;;31.7;;;;;;0;
82294;23/03/1961;1200;0;;20.1;;;;;;
82294;24/03/1961;0000;;31.5;;;;;;0.666667;
82294;24/03/1961;1200;0;;20.7;;;;;;
82294;25/03/1961;0000;;31.5;;;;;;0.666667;
82294;25/03/1961;1200;8.2;;18.7;;;;;;
82294;26/03/1961;0000;;29.8;;;;;;0.666667;
82294;26/03/1961;1200;25;;19.1;;;;;;
82294;27/03/1961;0000;;28.8;;;;;;0;
82294;27/03/1961;1200;30;;15.1;;;;;;
82294;28/03/1961;0000;;31.7;;;;;;1.333333;
82294;28/03/1961;1200;30;;20.1;;;;;;
82294;29/03/1961;0000;;31.7;;;;;;0.666667;
82294;29/03/1961;1200;50;;17.1;;;;;;
82294;30/03/1961;0000;;31;;;;;;0.666667;
82294;30/03/1961;1200;40;;19.5;;;;;;
82294;31/03/1961;0000;;31.7;;;;;;0.666667;
82294;31/03/1961;1200;20;;20.1;;;;;;
82294;01/04/1961;0000;;31.7;;;;;;0.666667;
82294;01/04/1961;1200;10;;20.1;;;;;;
82294;02/04/1961;0000;;32.5;;;;;;1.333333;
82294;02/04/1961;1200;20;;20.1;;;;;;
82294;03/04/1961;0000;;31.7;;;;;;0;
82294;03/04/1961;1200;20.8;;20.7;;;;;;
82294;04/04/1961;0000;;31.7;;;;;;0;
82294;04/04/1961;1200;6;;17.1;;;;;;
82294;05/04/1961;0000;;32.1;;;;;;0;
82294;05/04/1961;1200;12;;20.3;;;;;;
82294;06/04/1961;0000;;32.7;;;;;;0;
82294;06/04/1961;1200;53;;20;;;;;;
82294;07/04/1961;0000;;30.8;;;;;;0;
82294;07/04/1961;1200;9;;17.1;;;;;;
82294;08/04/1961;0000;;31.5;;;;;;0;
82294;08/04/1961;1200;35;;16.1;;;;;;
82294;09/04/1961;0000;;30;;;;;;0;
82294;09/04/1961;1200;83;;16.1;;;;;;
82294;10/04/1961;0000;;30;;;;;;0.666667;
82294;10/04/1961;1200;122;;17.1;;;;;;
82294;11/04/1961;0000;;30.8;;;;;;0.666667;
82294;11/04/1961;1200;20.2;;20.7;;;;;;
82294;12/04/1961;0000;;30.8;;;;;;0;
82294;12/04/1961;1200;9;;15.1;;;;;;
82294;13/04/1961;0000;;31.5;;;;;;0;
82294;13/04/1961;1200;40;;20.1;;;;;;
82294;14/04/1961;0000;;30.6;;;;;;0.666667;
82294;14/04/1961;1200;43;;20.1;;;;;;
82294;15/04/1961;0000;;31.9;;;;;;0.666667;
82294;15/04/1961;1200;50;;18.1;;;;;;
82294;16/04/1961;0000;;30.6;;;;;;0.666667;
82294;16/04/1961;1200;34;;15.9;;;;;;
82294;17/04/1961;0000;;30.8;;;;;;0.666667;
82294;17/04/1961;1200;20;;19.5;;;;;;
82294;18/04/1961;0000;;30.8;;;;;;0.666667;
82294;18/04/1961;1200;0;;19.3;;;;;;
82294;19/04/1961;0000;;31.9;;;;;;0;
82294;19/04/1961;1200;34;;19.3;;;;;;
82294;20/04/1961;0000;;30.8;;;;;;0.666667;
82294;20/04/1961;1200;42;;20.1;;;;;;
82294;21/04/1961;0000;;32.5;;;;;;0;
82294;21/04/1961;1200;0;;20.5;;;;;;
82294;22/04/1961;0000;;32.7;;;;;;0.666667;
82294;22/04/1961;1200;22;;20.3;;;;;;
82294;23/04/1961;0000;;32.5;;;;;;0.666667;
82294;23/04/1961;1200;10;;20.9;;;;;;
82294;24/04/1961;0000;;31.7;;;;;;0;
82294;24/04/1961;1200;0;;20.1;;;;;;
82294;25/04/1961;0000;;31.9;;;;;;0.666667;
82294;25/04/1961;1200;30;;19.3;;;;;;
82294;26/04/1961;0000;;31.3;;;;;;0;
82294;26/04/1961;1200;0;;20.7;;;;;;
82294;27/04/1961;0000;;31.9;;;;;;0.666667;
82294;27/04/1961;1200;2;;20.7;;;;;;
82294;28/04/1961;0000;;31.9;;;;;;0;
82294;28/04/1961;1200;31.4;;20.1;;;;;;
82294;29/04/1961;0000;;31.9;;;;;;0;
82294;29/04/1961;1200;15;;20.1;;;;;;
82294;30/04/1961;0000;;32.3;;;;;;0;
82294;30/04/1961;1200;61;;20.1;;;;;;
82294;01/05/1961;0000;;31;;;;;;0.666667;
82294;01/05/1961;1200;10;;19.9;;;;;;
82294;02/05/1961;0000;;30.2;;;;;;0;
82294;02/05/1961;1200;10;;18.1;;;;;;
82294;03/05/1961;0000;;31.5;;;;;;0.666667;
82294;03/05/1961;1200;20;;18.1;;;;;;
82294;04/05/1961;0000;;31.5;;;;;;0.666667;
82294;04/05/1961;1200;10;;18.1;;;;;;
82294;05/05/1961;0000;;31.9;;;;;;0.666667;
82294;05/05/1961;1200;0;;19.1;;;;;;
82294;06/05/1961;0000;;31.7;;;;;;0;
82294;06/05/1961;1200;0;;18.3;;;;;;
82294;07/05/1961;0000;;30.8;;;;;;0.666667;
82294;07/05/1961;1200;10;;17.5;;;;;;
82294;08/05/1961;0000;;30.8;;;;;;0.666667;
82294;08/05/1961;1200;0;;20.1;;;;;;
82294;09/05/1961;0000;;30.4;;;;;;0.666667;
82294;09/05/1961;1200;50;;18.7;;;;;;
82294;10/05/1961;0000;;30.6;;;;;;2;
82294;10/05/1961;1200;68;;18.9;;;;;;
82294;11/05/1961;0000;;31.7;;;;;;0;
82294;11/05/1961;1200;20;;18.1;;;;;;
82294;12/05/1961;0000;;31.7;;;;;;0;
82294;12/05/1961;1200;0;;19.9;;;;;;
82294;13/05/1961;0000;;31.7;;;;;;0;
82294;13/05/1961;1200;12;;19.9;;;;;;
82294;14/05/1961;0000;;31.9;;;;;;1.333333;
82294;14/05/1961;1200;0;;20.3;;;;;;
82294;15/05/1961;0000;;31.9;;;;;;0;
82294;15/05/1961;1200;0;;20.1;;;;;;
82294;16/05/1961;0000;;31.5;;;;;;0;
82294;16/05/1961;1200;0;;19.9;;;;;;
82294;17/05/1961;0000;;31.7;;;;;;0.666667;
82294;17/05/1961;1200;10;;20.3;;;;;;
82294;18/05/1961;0000;;31.5;;;;;;2;
82294;18/05/1961;1200;0;;20.5;;;;;;
82294;19/05/1961;0000;;31.7;;;;;;0.666667;
82294;19/05/1961;1200;20;;20.7;;;;;;
82294;20/05/1961;0000;;31.7;;;;;;0;
82294;20/05/1961;1200;0;;17.1;;;;;;
82294;21/05/1961;0000;;31.9;;;;;;0;
82294;21/05/1961;1200;10;;16.9;;;;;;
82294;22/05/1961;0000;;31.7;;;;;;0;
82294;22/05/1961;1200;0;;17.9;;;;;;
82294;23/05/1961;0000;;31.7;;;;;;0;
82294;23/05/1961;1200;0;;20.1;;;;;;
82294;24/05/1961;0000;;31.9;;;;;;0.666667;
82294;24/05/1961;1200;0;;18.5;;;;;;
82294;25/05/1961;0000;;32.3;;;;;;0.666667;
82294;25/05/1961;1200;0;;20.1;;;;;;
82294;26/05/1961;0000;;31.7;;;;;;0.666667;
82294;26/05/1961;1200;10;;20.1;;;;;;
82294;27/05/1961;0000;;32.3;;;;;;0;
82294;27/05/1961;1200;10;;20.1;;;;;;
82294;28/05/1961;0000;;31.9;;;;;;0.666667;
82294;28/05/1961;1200;0;;20.1;;;;;;
82294;29/05/1961;0000;;29.8;;;;;;0.666667;
82294;29/05/1961;1200;5;;17.3;;;;;;
82294;30/05/1961;0000;;31.9;;;;;;0.333333;
82294;30/05/1961;1200;0;;19.1;;;;;;
82294;31/05/1961;0000;;32.3;;;;;;1.333333;
82294;31/05/1961;1200;0;;19.9;;;;;;
82294;01/06/1961;0000;;30.6;;;;;;1.333333;
82294;01/06/1961;1200;0;;20.1;;;;;;
82294;02/06/1961;0000;;31.9;;;;;;1.666667;
82294;02/06/1961;1200;0;;20.1;;;;;;
82294;03/06/1961;0000;;31.7;;;;;;1.333333;
82294;03/06/1961;1200;0;;21.3;;;;;;
82294;04/06/1961;0000;;31.9;;;;;;1.666667;
82294;04/06/1961;1200;0;;20.1;;;;;;
82294;05/06/1961;0000;;31.9;;;;;;3.333333;
82294;05/06/1961;1200;0;;20.1;;;;;;
82294;06/06/1961;0000;;32.1;;;;;;2.666667;
82294;06/06/1961;1200;0;;21.1;;;;;;
82294;07/06/1961;0000;;32.5;;;;;;0.666667;
82294;07/06/1961;1200;0;;20.7;;;;;;
82294;08/06/1961;0000;;32.3;;;;;;3.333333;
82294;08/06/1961;1200;0;;20.5;;;;;;
82294;09/06/1961;0000;;32.3;;;;;;2.666667;
82294;09/06/1961;1200;0;;21.5;;;;;;
82294;10/06/1961;0000;;32.7;;;;;;2;
82294;10/06/1961;1200;18;;20.9;;;;;;
82294;11/06/1961;0000;;31.7;;;;;;1.333333;
82294;11/06/1961;1200;0;;20.1;;;;;;
82294;12/06/1961;0000;;31.5;;;;;;1.333333;
82294;12/06/1961;1200;0;;20.5;;;;;;
82294;13/06/1961;0000;;31.7;;;;;;0.666667;
82294;13/06/1961;1200;0;;20.3;;;;;;
